ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications - Education Wise,RPO Guwahati,GRADUATE AND ABOVE,1060,4521,42655,29:09.8
Applications - Age Wise Wise,RPO Guwahati,Between_18_to_35,1539,6537,64879,29:09.8
Applications - Age Wise Wise,RPO Guwahati,Between_36_to_60,1073,4454,39207,29:09.8
Applications - Age Wise Wise,RPO Guwahati,GreaterThan60,230,1003,8129,29:09.8
Applications - Age Wise Wise,RPO Guwahati,LessThan18,331,1405,12061,29:09.8
Application Fee Online Payment - Mode Wise,RPO Guwahati,Challan,42850,191800,3430900,29:09.8
Application Fee Online Payment - Mode Wise,RPO Guwahati,Credit/ Debit Card,2044450,11059400,100163550,29:09.8
Application Fee Online Payment - Mode Wise,RPO Guwahati,Online,1121850,6680550,66077150,29:09.8
Applications Received - Service Wise,RPO Guwahati,FRESH,2607,11028,101969,29:09.8
Applications Received - Service Wise,RPO Guwahati,PCC,73,311,2805,29:09.8
Applications Received - Service Wise,RPO Guwahati,REISSUE,492,2056,19493,29:09.8
Applications Granted - PV Mode wise,RPO Guwahati,No Verification,405,1903,17684,29:09.8
Applications Granted - PV Mode wise,RPO Guwahati,Post Verification,508,2587,22381,29:09.8
Applications Granted - PV Mode wise,RPO Guwahati,Pre Verification,1113,4342,43566,29:09.8
PV Processing Time,RPO Guwahati,More than 21 Days,1419,6827,64230,29:09.8
PV Processing Time,RPO Guwahati,Within 21 Days,189,610,6090,29:09.8
Applications Received - Scheme wise,RPO Hyderabad,Normal,9940,46251,455010,29:09.8
Applications Received - Scheme wise,RPO Hyderabad,Tatkaal,342,1421,15714,29:09.8
Applications Received - Gender wise,RPO Hyderabad,FEMALE,3921,18916,182816,29:09.8
Applications Received - Gender wise,RPO Hyderabad,MALE,6358,28738,287793,29:09.8
Applications with Aadhaar Number,RPO Hyderabad,Count of Applications,10279,47655,470621,29:09.8
Applications - Education Wise,RPO Hyderabad,10TH PASS AND ABOVE,3256,15256,152407,29:09.8
Applications - Education Wise,RPO Hyderabad,GRADUATE AND ABOVE,3411,15332,157847,29:09.8
Applications - Age Wise Wise,RPO Hyderabad,Between_18_to_35,5327,23411,235643,29:09.8
Applications - Age Wise Wise,RPO Hyderabad,Between_36_to_60,2857,13193,132118,29:09.8
Applications - Age Wise Wise,RPO Hyderabad,GreaterThan60,606,2836,30425,29:09.8
Applications - Age Wise Wise,RPO Hyderabad,LessThan18,1489,8215,72435,29:09.8
Application Fee Online Payment - Mode Wise,RPO Hyderabad,Challan,73300,353850,4153750,29:09.8
Application Fee Online Payment - Mode Wise,RPO Hyderabad,Credit/ Debit Card,6662950,32176800,313582500,29:09.8
Application Fee Online Payment - Mode Wise,RPO Hyderabad,Online,5036850,23648050,240724300,29:09.8
Applications Received - Service Wise,RPO Hyderabad,FRESH,6447,29553,291380,29:09.8
Applications Received - Service Wise,RPO Hyderabad,PCC,436,1932,18224,29:09.8
Applications Received - Service Wise,RPO Hyderabad,REISSUE,3385,16115,160586,29:09.8
Applications Granted - PV Mode wise,RPO Hyderabad,No Verification,2554,11386,116427,29:09.8
Applications Granted - PV Mode wise,RPO Hyderabad,Post Verification,1269,6332,58083,29:09.8
Applications Granted - PV Mode wise,RPO Hyderabad,Pre Verification,6277,28696,278947,29:09.8
PV Processing Time,RPO Hyderabad,Within 21 Days,5774,27332,289615,29:09.8
Applications Received - Scheme wise,RPO Jaipur,Normal,6131,30227,305331,29:09.8
Applications Received - Scheme wise,RPO Jaipur,Tatkaal,418,1742,15399,29:09.8
Applications Received - Gender wise,RPO Jaipur,FEMALE,1982,9299,93876,29:09.8
Applications Received - Gender wise,RPO Jaipur,MALE,4567,22670,226833,29:09.8
Applications with Aadhaar Number,RPO Jaipur,Count of Applications,6549,31969,320726,29:09.8
Applications - Education Wise,RPO Jaipur,10TH PASS AND ABOVE,1868,9656,98984,29:09.8
Applications - Education Wise,RPO Jaipur,GRADUATE AND ABOVE,2222,9499,97211,29:09.8
Applications - Age Wise Wise,RPO Jaipur,Between_18_to_35,3740,18141,179434,29:09.8
Applications - Age Wise Wise,RPO Jaipur,Between_36_to_60,1705,8631,88505,29:09.8
Applications - Age Wise Wise,RPO Jaipur,GreaterThan60,426,2046,19284,29:09.8
Applications - Age Wise Wise,RPO Jaipur,LessThan18,678,3151,33503,29:09.8
Application Fee Online Payment - Mode Wise,RPO Jaipur,Challan,101000,598150,7740750,29:09.8
Application Fee Online Payment - Mode Wise,RPO Jaipur,Credit/ Debit Card,4225350,19192800,213574150,29:09.8
Application Fee Online Payment - Mode Wise,RPO Jaipur,Online,3318050,15546150,178812600,29:09.8
Applications Received - Service Wise,RPO Jaipur,FRESH,4761,23193,231224,29:09.8
Applications Received - Service Wise,RPO Jaipur,PCC,237,1476,14534,29:09.8
Applications Received - Service Wise,RPO Jaipur,REISSUE,1549,7294,74897,29:09.8
Applications Granted - PV Mode wise,RPO Jaipur,No Verification,482,2504,24430,29:09.8
Applications Granted - PV Mode wise,RPO Jaipur,Post Verification,725,3391,34136,29:09.8
Applications Granted - PV Mode wise,RPO Jaipur,Pre Verification,3410,16839,163197,29:09.8
PV Processing Time,RPO Jaipur,More than 21 Days,1263,7322,54270,29:09.8
PV Processing Time,RPO Jaipur,Within 21 Days,2834,16655,188138,29:09.8
Applications Received - Scheme wise,RPO Jalandhar,Normal,5010,27444,339453,29:09.8
Applications Received - Gender wise,RPO Jalandhar,FEMALE,2051,11030,137653,29:09.8
Applications Received - Gender wise,RPO Jalandhar,MALE,2974,16487,202632,29:09.8
Applications with Aadhaar Number,RPO Jalandhar,Count of Applications,5025,27517,340291,29:09.8
Applications - Education Wise,RPO Jalandhar,10TH PASS AND ABOVE,2481,13741,172183,29:09.8
Applications - Education Wise,RPO Jalandhar,GRADUATE AND ABOVE,635,2898,34532,29:09.8
Applications - Age Wise Wise,RPO Jalandhar,Between_18_to_35,2610,14263,176837,29:09.8
Applications - Age Wise Wise,RPO Jalandhar,Between_36_to_60,1354,7720,96899,29:09.8
Applications - Age Wise Wise,RPO Jalandhar,GreaterThan60,362,1923,23079,29:09.8
Applications - Age Wise Wise,RPO Jalandhar,LessThan18,699,3611,43476,29:09.8
Application Fee Online Payment - Mode Wise,RPO Jalandhar,Challan,85900,470150,9093300,29:09.8
Application Fee Online Payment - Mode Wise,RPO Jalandhar,Credit/ Debit Card,3902700,18621500,213505250,29:09.8
Application Fee Online Payment - Mode Wise,RPO Jalandhar,Online,2365500,11782900,161482500,29:09.8
Applications Received - Service Wise,RPO Jalandhar,FRESH,2557,14179,180452,29:09.8
Applications Received - Service Wise,RPO Jalandhar,PCC,547,3138,28194,29:09.8
Applications Received - Service Wise,RPO Jalandhar,REISSUE,1921,10200,131642,29:09.8
Applications Granted - PV Mode wise,RPO Jalandhar,No Verification,401,1984,22994,29:09.8
Applications Granted - PV Mode wise,RPO Jalandhar,Post Verification,314,1502,22088,29:09.8
Applications Granted - PV Mode wise,RPO Jalandhar,Pre Verification,4316,24036,294746,29:09.8
PV Processing Time,RPO Jalandhar,More than 21 Days,160,841,9214,29:09.8
PV Processing Time,RPO Jalandhar,Within 21 Days,6006,24889,288860,29:09.8
Applications Received - Scheme wise,RPO Jammu,Normal,962,4391,46964,29:09.8
Applications Received - Gender wise,RPO Jammu,FEMALE,274,1260,13484,29:09.8
Applications Received - Gender wise,RPO Jammu,MALE,688,3130,33037,29:09.8
Applications with Aadhaar Number,RPO Jammu,Count of Applications,962,4391,46522,29:09.8
Applications - Education Wise,RPO Jammu,10TH PASS AND ABOVE,499,2192,25342,29:09.8
Applications - Education Wise,RPO Jammu,GRADUATE AND ABOVE,130,654,4354,29:09.8
Applications - Age Wise Wise,RPO Jammu,Between_18_to_35,556,2443,26147,29:09.8
Applications - Age Wise Wise,RPO Jammu,Between_36_to_60,246,1149,12379,29:09.8
Applications - Age Wise Wise,RPO Jammu,GreaterThan60,82,377,3679,29:09.8
Applications - Age Wise Wise,RPO Jammu,LessThan18,78,422,4317,29:09.8
Application Fee Online Payment - Mode Wise,RPO Jammu,Challan,27850,106750,1509250,29:09.8
Application Fee Online Payment - Mode Wise,RPO Jammu,Credit/ Debit Card,913550,3616100,37737400,29:09.8
Application Fee Online Payment - Mode Wise,RPO Jammu,Online,382750,1718750,18954000,29:09.8
Applications Received - Service Wise,RPO Jammu,FRESH,708,3353,34823,29:09.8
Applications Received - Service Wise,RPO Jammu,PCC,39,183,3026,29:09.8
Applications Received - Service Wise,RPO Jammu,REISSUE,213,851,9107,29:09.8
Applications Granted - PV Mode wise,RPO Jammu,Pre Verification,856,3967,40243,29:09.8
PV Processing Time,RPO Jammu,More than 21 Days,576,3931,43146,29:09.8
Applications Received - Scheme wise,RPO Kolkata,Normal,12580,50648,514685,29:09.8
Applications Received - Scheme wise,RPO Kolkata,Tatkaal,606,2754,21888,29:09.8
Applications Received - Gender wise,RPO Kolkata,FEMALE,4351,17113,173990,29:09.8
Applications Received - Gender wise,RPO Kolkata,MALE,8834,36281,362517,29:09.8
Applications with Aadhaar Number,RPO Kolkata,Count of Applications,13186,53400,536558,29:09.8
Applications - Education Wise,RPO Kolkata,10TH PASS AND ABOVE,3936,16448,168726,29:09.8
Applications - Education Wise,RPO Kolkata,GRADUATE AND ABOVE,3243,13378,134815,29:09.8
Applications - Age Wise Wise,RPO Kolkata,Between_18_to_35,6189,26062,264772,29:09.8
Applications - Age Wise Wise,RPO Kolkata,Between_36_to_60,4368,17256,172295,29:09.8
Applications - Age Wise Wise,RPO Kolkata,GreaterThan60,1122,4366,44410,29:09.8
Applications - Age Wise Wise,RPO Kolkata,LessThan18,1507,5716,55081,29:09.8
Application Fee Online Payment - Mode Wise,RPO Kolkata,Challan,456700,1794000,25407800,29:09.8
Application Fee Online Payment - Mode Wise,RPO Kolkata,Credit/ Debit Card,7887000,38012150,374478100,29:09.8
Application Fee Online Payment - Mode Wise,RPO Kolkata,Online,5888100,26883600,301280950,29:09.8
Applications Received - Service Wise,RPO Kolkata,FRESH,9778,39127,390402,29:09.8
Applications Received - Service Wise,RPO Kolkata,PCC,414,2081,23109,29:09.8
Applications Received - Service Wise,RPO Kolkata,REISSUE,2988,12169,122911,29:09.8
Applications Granted - PV Mode wise,RPO Kolkata,No Verification,2046,8311,91816,29:09.8
Applications Granted - PV Mode wise,RPO Kolkata,Post Verification,2060,8460,77521,29:09.8
Applications Granted - PV Mode wise,RPO Kolkata,Pre Verification,5844,23395,231884,29:09.8
PV Processing Time,RPO Kolkata,More than 21 Days,2961,17293,168821,29:09.8
PV Processing Time,RPO Kolkata,Within 21 Days,3184,14274,167206,29:09.8
Applications Received - Scheme wise,RPO Kozhikode,Normal,10926,47029,428973,29:09.8
Applications Received - Scheme wise,RPO Kozhikode,Tatkaal,381,1790,17146,29:09.8
Applications Received - Gender wise,RPO Kozhikode,FEMALE,5002,21063,190445,29:09.8
Applications Received - Gender wise,RPO Kozhikode,MALE,6305,27756,255667,29:09.8
Applications with Aadhaar Number,RPO Kozhikode,Count of Applications,11307,48819,446114,29:09.8
Applications - Education Wise,RPO Kozhikode,10TH PASS AND ABOVE,4524,20000,185190,29:09.8
Applications - Education Wise,RPO Kozhikode,GRADUATE AND ABOVE,1035,4259,39915,29:09.8
Applications - Age Wise Wise,RPO Kozhikode,Between_18_to_35,4491,19826,187790,29:09.8
Applications - Age Wise Wise,RPO Kozhikode,Between_36_to_60,3165,13493,113604,29:09.8
Applications - Age Wise Wise,RPO Kozhikode,GreaterThan60,783,3260,26158,29:09.8
Applications - Age Wise Wise,RPO Kozhikode,LessThan18,2868,12240,118562,29:09.8
Application Fee Online Payment - Mode Wise,RPO Kozhikode,Challan,69100,245150,2943650,29:09.8
Application Fee Online Payment - Mode Wise,RPO Kozhikode,Credit/ Debit Card,5068750,22675100,178056250,29:09.8
Application Fee Online Payment - Mode Wise,RPO Kozhikode,Online,7825800,35762150,341680150,29:09.8
Applications Received - Service Wise,RPO Kozhikode,FRESH,6157,26308,241532,29:09.8
Applications Received - Service Wise,RPO Kozhikode,PCC,343,1650,15862,29:09.8
Applications Received - Service Wise,RPO Kozhikode,REISSUE,4806,20859,188704,29:09.8
Applications Granted - PV Mode wise,RPO Kozhikode,No Verification,2520,10820,105926,29:09.8
Applications Granted - PV Mode wise,RPO Kozhikode,Post Verification,3191,13531,120216,29:09.8
Applications Granted - PV Mode wise,RPO Kozhikode,Pre Verification,5554,24282,211239,29:09.8
PV Processing Time,RPO Kozhikode,Within 21 Days,6130,22944,213277,29:09.8
Applications Received - Scheme wise,RPO Lucknow,Normal,11333,54301,509773,29:09.8
Applications Received - Scheme wise,RPO Lucknow,Tatkaal,152,693,7176,29:09.8
Applications Received - Gender wise,RPO Lucknow,FEMALE,2217,9855,91775,29:09.8
Applications Received - Gender wise,RPO Lucknow,MALE,9268,45137,425142,29:09.8
Applications with Aadhaar Number,RPO Lucknow,Count of Applications,11485,54993,516940,29:09.8
Applications - Education Wise,RPO Lucknow,10TH PASS AND ABOVE,3991,19730,191948,29:09.8
Applications - Education Wise,RPO Lucknow,GRADUATE AND ABOVE,2453,10302,103918,29:09.8
Applications - Age Wise Wise,RPO Lucknow,Between_18_to_35,7968,38178,358572,29:09.8
Applications - Age Wise Wise,RPO Lucknow,Between_36_to_60,2267,11317,107075,29:09.8
Applications - Age Wise Wise,RPO Lucknow,GreaterThan60,639,2977,25295,29:09.8
Applications - Age Wise Wise,RPO Lucknow,LessThan18,611,2521,25998,29:09.8
Application Fee Online Payment - Mode Wise,RPO Lucknow,Challan,78900,503250,6590500,29:09.8
Application Fee Online Payment - Mode Wise,RPO Lucknow,Credit/ Debit Card,6255500,32980250,296378850,29:09.8
Application Fee Online Payment - Mode Wise,RPO Lucknow,Online,6530750,34321700,357500900,29:09.8
Applications Received - Service Wise,RPO Lucknow,FRESH,8322,40124,371490,29:09.8
Applications Received - Service Wise,RPO Lucknow,PCC,1106,5201,46797,29:09.8
Applications Received - Service Wise,RPO Lucknow,REISSUE,2054,9659,98578,29:09.8
Applications Granted - PV Mode wise,RPO Lucknow,No Verification,1049,4685,46568,29:09.8
Applications Granted - PV Mode wise,RPO Lucknow,Post Verification,480,2401,30857,29:09.8
Applications Granted - PV Mode wise,RPO Lucknow,Pre Verification,9439,47661,389812,29:09.8
PV Processing Time,RPO Lucknow,More than 21 Days,1168,4751,48650,29:09.8
PV Processing Time,RPO Lucknow,Within 21 Days,8486,44390,381930,29:09.8
Applications Received - Scheme wise,RPO Madurai,Normal,4086,19094,206711,29:09.8
Applications Received - Gender wise,RPO Madurai,FEMALE,1320,6345,66060,29:09.8
Applications Received - Gender wise,RPO Madurai,MALE,2772,12780,141025,29:09.8
Applications with Aadhaar Number,RPO Madurai,Count of Applications,4092,19126,207090,29:09.8
Applications - Education Wise,RPO Madurai,10TH PASS AND ABOVE,1373,7153,78158,29:09.8
Applications - Education Wise,RPO Madurai,GRADUATE AND ABOVE,1330,5757,60865,29:09.8
Applications - Age Wise Wise,RPO Madurai,Between_18_to_35,2348,10896,117560,29:09.8
Applications - Age Wise Wise,RPO Madurai,Between_36_to_60,897,4638,50397,29:09.8
Applications - Age Wise Wise,RPO Madurai,GreaterThan60,207,1070,11996,29:09.8
Applications - Age Wise Wise,RPO Madurai,LessThan18,640,2522,27137,29:09.8
Application Fee Online Payment - Mode Wise,RPO Madurai,Challan,36200,320600,3196200,29:09.8
Application Fee Online Payment - Mode Wise,RPO Madurai,Credit/ Debit Card,2266300,9633000,103168700,29:09.8
Application Fee Online Payment - Mode Wise,RPO Madurai,Online,1823200,7734850,98189100,29:09.8
Applications Received - Service Wise,RPO Madurai,FRESH,2522,12047,132343,29:09.8
Applications Received - Service Wise,RPO Madurai,PCC,266,1195,12364,29:09.8
Applications Received - Service Wise,RPO Madurai,REISSUE,1303,5879,62360,29:09.8
Applications Granted - PV Mode wise,RPO Madurai,No Verification,540,2180,25900,29:09.8
Applications Granted - PV Mode wise,RPO Madurai,Post Verification,636,2882,31048,29:09.8
Applications Granted - PV Mode wise,RPO Madurai,Pre Verification,2154,11534,127928,29:09.8
PV Processing Time,RPO Madurai,Within 21 Days,2302,12920,142875,29:09.8
Applications Received - Scheme wise,RPO Mumbai,Normal,13390,60454,666745,29:09.8
Applications Received - Scheme wise,RPO Mumbai,Tatkaal,750,3384,35632,29:09.8
Applications Received - Gender wise,RPO Mumbai,FEMALE,6169,26946,301535,29:09.8
Applications Received - Gender wise,RPO Mumbai,MALE,7968,36858,400373,29:09.8
Applications with Aadhaar Number,RPO Mumbai,Count of Applications,14137,63806,701932,29:09.8
Applications - Education Wise,RPO Mumbai,10TH PASS AND ABOVE,4344,20143,229549,29:09.8
Applications - Education Wise,RPO Mumbai,GRADUATE AND ABOVE,5406,24833,277175,29:09.8
Applications - Age Wise Wise,RPO Mumbai,Between_18_to_35,5773,27082,298922,29:09.8
Applications - Age Wise Wise,RPO Mumbai,Between_36_to_60,4157,20116,225075,29:09.8
Applications - Age Wise Wise,RPO Mumbai,GreaterThan60,1073,5737,64156,29:09.8
Applications - Age Wise Wise,RPO Mumbai,LessThan18,3134,10871,113779,29:09.8
Application Fee Online Payment - Mode Wise,RPO Mumbai,Challan,342050,1872350,27711000,29:09.8
Application Fee Online Payment - Mode Wise,RPO Mumbai,Credit/ Debit Card,12274750,58278750,651091300,29:09.8
Application Fee Online Payment - Mode Wise,RPO Mumbai,Online,2586250,13016000,152249750,29:09.8
Applications Received - Service Wise,RPO Mumbai,FRESH,7271,33549,372819,29:09.8
Applications Received - Service Wise,RPO Mumbai,PCC,486,2549,24885,29:09.8
Applications Received - Service Wise,RPO Mumbai,REISSUE,6359,27630,303546,29:09.8
Applications Granted - PV Mode wise,RPO Mumbai,No Verification,2255,9417,111343,29:09.8
Applications Granted - PV Mode wise,RPO Mumbai,Post Verification,2301,10407,118219,29:09.8
Applications Granted - PV Mode wise,RPO Mumbai,Pre Verification,7759,36219,420696,29:09.8
PV Processing Time,RPO Mumbai,More than 21 Days,2791,9704,102864,29:09.8
PV Processing Time,RPO Mumbai,Within 21 Days,4513,30461,363731,29:09.8
Applications Received - Scheme wise,RPO Nagpur,Normal,2350,9008,98415,29:09.8
Applications Received - Scheme wise,RPO Nagpur,Tatkaal,108,355,3538,29:09.8
Applications Received - Gender wise,RPO Nagpur,FEMALE,1020,3785,41103,29:09.8
Applications Received - Gender wise,RPO Nagpur,MALE,1438,5578,60841,29:09.8
Applications with Aadhaar Number,RPO Nagpur,Count of Applications,2458,9363,101949,29:09.8
Applications - Education Wise,RPO Nagpur,10TH PASS AND ABOVE,765,3206,37050,29:09.8
Applications - Education Wise,RPO Nagpur,GRADUATE AND ABOVE,1162,3884,41340,29:09.8
Applications - Age Wise Wise,RPO Nagpur,Between_18_to_35,1333,4416,47549,29:09.8
Applications - Age Wise Wise,RPO Nagpur,Between_36_to_60,669,3004,33118,29:09.8
Applications - Age Wise Wise,RPO Nagpur,GreaterThan60,157,903,9576,29:09.8
Applications - Age Wise Wise,RPO Nagpur,LessThan18,299,1040,11706,29:09.8
Application Fee Online Payment - Mode Wise,RPO Nagpur,Challan,50800,248750,3199200,29:09.8
Application Fee Online Payment - Mode Wise,RPO Nagpur,Credit/ Debit Card,1874100,8214250,86858600,29:09.8
Application Fee Online Payment - Mode Wise,RPO Nagpur,Online,689100,3413100,40507800,29:09.8
Applications Received - Service Wise,RPO Nagpur,FRESH,1878,7021,75560,29:09.8
Applications Received - Service Wise,RPO Nagpur,PCC,35,162,2400,29:09.8
Applications Received - Service Wise,RPO Nagpur,REISSUE,544,2176,23956,29:09.8
Applications Granted - PV Mode wise,RPO Nagpur,No Verification,178,635,11766,29:09.8
Applications Granted - PV Mode wise,RPO Nagpur,Post Verification,328,1358,11149,29:09.8
Applications Granted - PV Mode wise,RPO Nagpur,Pre Verification,808,4004,47878,29:09.8
PV Processing Time,RPO Nagpur,More than 21 Days,694,1509,13515,29:09.8
PV Processing Time,RPO Nagpur,Within 21 Days,1712,4526,58477,29:09.8
Applications Received - Scheme wise,RPO Patna,Normal,5814,28401,253702,29:09.8
Applications Received - Scheme wise,RPO Patna,Tatkaal,111,445,5378,29:09.8
Applications Received - Gender wise,RPO Patna,FEMALE,865,3598,31336,29:09.8
Applications Received - Gender wise,RPO Patna,MALE,5060,25248,227740,29:09.8
Applications with Aadhaar Number,RPO Patna,Count of Applications,5925,28846,259078,29:09.8
Applications - Education Wise,RPO Patna,10TH PASS AND ABOVE,2226,11178,104361,29:09.8
Applications - Education Wise,RPO Patna,GRADUATE AND ABOVE,1130,4914,43807,29:09.8
Applications - Age Wise Wise,RPO Patna,Between_18_to_35,4381,21691,196783,29:09.8
Applications - Age Wise Wise,RPO Patna,Between_36_to_60,1037,5010,45016,29:09.8
Applications - Age Wise Wise,RPO Patna,GreaterThan60,280,1179,8324,29:09.8
Applications - Age Wise Wise,RPO Patna,LessThan18,227,966,8955,29:09.8
Application Fee Online Payment - Mode Wise,RPO Patna,Challan,11850,119950,1717150,29:09.8
Application Fee Online Payment - Mode Wise,RPO Patna,Credit/ Debit Card,3456850,18073450,159382250,29:09.8
Application Fee Online Payment - Mode Wise,RPO Patna,Online,2861000,16681950,176562250,29:09.8
Applications Received - Service Wise,RPO Patna,FRESH,4454,21794,193746,29:09.8
Applications Received - Service Wise,RPO Patna,PCC,506,2340,21374,29:09.8
Applications Received - Service Wise,RPO Patna,REISSUE,964,4711,43946,29:09.8
Applications Granted - PV Mode wise,RPO Patna,No Verification,508,2394,26372,29:09.8
Applications Granted - PV Mode wise,RPO Patna,Post Verification,280,1231,12595,29:09.8
Applications Granted - PV Mode wise,RPO Patna,Pre Verification,3827,17834,137154,29:09.8
PV Processing Time,RPO Patna,More than 21 Days,485,4620,68101,29:09.8
PV Processing Time,RPO Patna,Within 21 Days,3603,18087,144709,29:09.8
Applications Received - Scheme wise,RPO Pune,Normal,6210,29149,322853,29:09.8
Applications Received - Scheme wise,RPO Pune,Tatkaal,109,818,14257,29:09.8
Applications Received - Gender wise,RPO Pune,FEMALE,2670,11860,134661,29:09.8
Applications Received - Gender wise,RPO Pune,MALE,3647,18099,202397,29:09.8
Applications with Aadhaar Number,RPO Pune,Count of Applications,6318,29961,337074,29:09.8
Applications - Education Wise,RPO Pune,10TH PASS AND ABOVE,1828,8974,104785,29:09.8
Applications - Education Wise,RPO Pune,GRADUATE AND ABOVE,2708,13035,148098,29:09.8
Applications - Age Wise Wise,RPO Pune,Between_18_to_35,2944,13999,158323,29:09.8
Applications - Age Wise Wise,RPO Pune,Between_36_to_60,1705,8811,101193,29:09.8
Applications - Age Wise Wise,RPO Pune,GreaterThan60,433,2485,27100,29:09.8
Applications - Age Wise Wise,RPO Pune,LessThan18,1236,4666,50458,29:09.8
Application Fee Online Payment - Mode Wise,RPO Pune,Challan,106250,424000,6923100,29:09.8
Application Fee Online Payment - Mode Wise,RPO Pune,Credit/ Debit Card,5164500,24888200,284026700,29:09.8
Application Fee Online Payment - Mode Wise,RPO Pune,Online,1539750,7400000,92199350,29:09.8
Applications Received - Service Wise,RPO Pune,FRESH,4076,19564,223852,29:09.8
Applications Received - Service Wise,RPO Pune,PCC,233,998,10095,29:09.8
Applications Received - Service Wise,RPO Pune,REISSUE,1997,9375,102969,29:09.8
Applications Granted - PV Mode wise,RPO Pune,No Verification,733,2882,36982,29:09.8
Applications Granted - PV Mode wise,RPO Pune,Post Verification,708,3652,45535,29:09.8
Applications Granted - PV Mode wise,RPO Pune,Pre Verification,3766,17926,195958,29:09.8
PV Processing Time,RPO Pune,More than 21 Days,1666,5590,57814,29:09.8
PV Processing Time,RPO Pune,Within 21 Days,4486,17290,198151,29:09.8
Applications Received - Scheme wise,RPO Raipur,Normal,794,4288,47702,29:09.8
Applications Received - Gender wise,RPO Raipur,FEMALE,328,1687,18902,29:09.8
Applications Received - Gender wise,RPO Raipur,MALE,484,2685,29892,29:09.8
Applications with Aadhaar Number,RPO Raipur,Count of Applications,812,4372,48796,29:09.8
Applications - Education Wise,RPO Raipur,10TH PASS AND ABOVE,231,1322,16157,29:09.8
Applications - Education Wise,RPO Raipur,GRADUATE AND ABOVE,374,1804,19640,29:09.8
Applications - Age Wise Wise,RPO Raipur,Between_18_to_35,385,2047,22582,29:09.8
Applications - Age Wise Wise,RPO Raipur,Between_36_to_60,230,1429,16417,29:09.8
Applications - Age Wise Wise,RPO Raipur,GreaterThan60,52,295,3401,29:09.8
Applications - Age Wise Wise,RPO Raipur,LessThan18,145,601,6396,29:09.8
Application Fee Online Payment - Mode Wise,RPO Raipur,Challan,5850,40900,887550,29:09.8
Application Fee Online Payment - Mode Wise,RPO Raipur,Credit/ Debit Card,642600,3149100,35804050,29:09.8
Application Fee Online Payment - Mode Wise,RPO Raipur,Online,485650,2504550,28671650,29:09.8
Applications Received - Service Wise,RPO Raipur,FRESH,559,3256,36155,29:09.8
Applications Received - Service Wise,RPO Raipur,REISSUE,246,1069,12075,29:09.8
Applications Granted - PV Mode wise,RPO Raipur,No Verification,63,382,3761,29:09.8
Applications Granted - PV Mode wise,RPO Raipur,Post Verification,57,335,3591,29:09.8
Applications Granted - PV Mode wise,RPO Raipur,Pre Verification,575,2849,26500,29:09.8
PV Processing Time,RPO Raipur,More than 21 Days,407,1558,16298,29:09.8
PV Processing Time,RPO Raipur,Within 21 Days,373,1848,24064,29:09.8
Applications Received - Scheme wise,RPO Ranchi,Normal,1914,8961,82769,29:09.8
Applications Received - Scheme wise,RPO Ranchi,Tatkaal,49,191,1711,29:09.8
Applications Received - Gender wise,RPO Ranchi,FEMALE,559,2535,23644,29:09.8
Applications Received - Gender wise,RPO Ranchi,MALE,1404,6616,60824,29:09.8
Applications with Aadhaar Number,RPO Ranchi,Count of Applications,1963,9151,84474,29:09.8
Applications - Education Wise,RPO Ranchi,10TH PASS AND ABOVE,697,3446,33577,29:09.8
Applications - Education Wise,RPO Ranchi,GRADUATE AND ABOVE,735,2985,29353,29:09.8
Applications - Age Wise Wise,RPO Ranchi,Between_18_to_35,1196,5442,50935,29:09.8
Applications - Age Wise Wise,RPO Ranchi,Between_36_to_60,496,2384,21594,29:09.8
Applications - Age Wise Wise,RPO Ranchi,GreaterThan60,147,717,5573,29:09.8
Applications - Age Wise Wise,RPO Ranchi,LessThan18,124,608,6372,29:09.8
Application Fee Online Payment - Mode Wise,RPO Ranchi,Challan,25850,92000,1332100,29:09.8
Application Fee Online Payment - Mode Wise,RPO Ranchi,Credit/ Debit Card,1508700,7492700,70144000,29:09.8
Application Fee Online Payment - Mode Wise,RPO Ranchi,Online,681100,3705950,37388700,29:09.8
Applications Received - Service Wise,RPO Ranchi,FRESH,1510,7185,64671,29:09.8
Applications Received - Service Wise,RPO Ranchi,PCC,72,413,3897,29:09.8
Applications Received - Service Wise,RPO Ranchi,REISSUE,380,1549,15896,29:09.8
Applications Granted - PV Mode wise,RPO Ranchi,No Verification,127,796,8690,29:09.8
Applications Granted - PV Mode wise,RPO Ranchi,Post Verification,176,892,8556,29:09.8
Applications Granted - PV Mode wise,RPO Ranchi,Pre Verification,689,5093,45293,29:09.8
PV Processing Time,RPO Ranchi,More than 21 Days,171,2436,20822,29:09.8
PV Processing Time,RPO Ranchi,Within 21 Days,811,4103,42837,29:09.8
Applications Received - Scheme wise,RPO Shimla,Normal,1093,4306,47940,29:09.8
Applications Received - Gender wise,RPO Shimla,FEMALE,313,1165,13567,29:09.8
Applications Received - Gender wise,RPO Shimla,MALE,789,3177,35060,29:09.8
Applications with Aadhaar Number,RPO Shimla,Count of Applications,1102,4342,48631,29:09.8
Applications - Education Wise,RPO Shimla,10TH PASS AND ABOVE,508,2133,24370,29:09.8
Applications - Education Wise,RPO Shimla,GRADUATE AND ABOVE,421,1574,17242,29:09.8
