ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications Received - Service Wise,RPO Bangalore,REISSUE,6462,6462,23942,03:38.8
Applications Granted - PV Mode wise,RPO Bangalore,No Verification,5361,5361,21698,03:38.8
Applications Granted - PV Mode wise,RPO Bangalore,Post Verification,1062,1062,4149,03:38.8
Applications Granted - PV Mode wise,RPO Bangalore,Pre Verification,9169,9169,34223,03:38.8
PV Processing Time,RPO Bangalore,More than 21 Days,3242,3242,17857,03:38.8
PV Processing Time,RPO Bangalore,Within 21 Days,3703,3703,18644,03:38.8
Applications Received - Scheme wise,RPO Bareilly,Normal,3859,14304,123862,29:09.8
Applications Received - Scheme wise,RPO Bareilly,Tatkaal,7789,327,2415,29:09.8
Applications Received - Gender wise,RPO Bareilly,FEMALE,1099,4068,33311,29:09.8
Applications Received - Gender wise,RPO Bareilly,MALE,2837,10562,92959,29:09.8
Applications with Aadhaar Number,RPO Bareilly,Count of Applications,3936,14631,126276,29:09.8
Applications - Education Wise,RPO Bareilly,10TH PASS AND ABOVE,5484,3352,32204,29:09.8
Applications - Education Wise,RPO Bareilly,GRADUATE AND ABOVE,5646,2146,20977,29:09.8
Applications - Age Wise Wise,RPO Bareilly,Between_18_to_35,2254,8539,77770,29:09.8
Applications - Age Wise Wise,RPO Bareilly,Between_36_to_60,1035,3712,30460,29:09.8
Applications - Age Wise Wise,RPO Bareilly,GreaterThan60,4585,1475,9524,29:09.8
Applications - Age Wise Wise,RPO Bareilly,LessThan18,2479,905,8522,29:09.8
Application Fee Online Payment - Mode Wise,RPO Bareilly,Challan,5600,138800,1867200,29:09.8
Application Fee Online Payment - Mode Wise,RPO Bareilly,Credit/ Debit Card,8961,9101300,82042250,29:09.8
Application Fee Online Payment - Mode Wise,RPO Bareilly,Online,9856,8614250,84169300,29:09.8
Applications Received - Service Wise,RPO Bareilly,FRESH,3268,11825,98905,29:09.8
Applications Received - Service Wise,RPO Bareilly,PCC,7843,734,7421,29:09.8
Applications Received - Service Wise,RPO Bareilly,REISSUE,8613,2071,19940,29:09.8
Applications Granted - PV Mode wise,RPO Bareilly,No Verification,8711,981,10305,29:09.8
Applications Granted - PV Mode wise,RPO Bareilly,Post Verification,2578,781,7547,29:09.8
Applications Granted - PV Mode wise,RPO Bareilly,Pre Verification,2700,11162,85928,29:09.8
PV Processing Time,RPO Bareilly,More than 21 Days,1254,636,6140,29:09.8
PV Processing Time,RPO Bareilly,Within 21 Days,2038,11364,97488,29:09.8
Applications Received - Scheme wise,RPO Bhopal,Normal,3999,18394,181265,29:09.8
Applications Received - Scheme wise,RPO Bhopal,Tatkaal,8942,459,6444,29:09.8
Applications Received - Gender wise,RPO Bhopal,FEMALE,1654,7548,74330,29:09.8
Applications Received - Gender wise,RPO Bhopal,MALE,2453,11303,113358,29:09.8
Applications with Aadhaar Number,RPO Bhopal,Count of Applications,4108,18853,187707,29:09.8
Applications - Education Wise,RPO Bhopal,10TH PASS AND ABOVE,1111,5038,53017,29:09.8
Applications - Education Wise,RPO Bhopal,GRADUATE AND ABOVE,1543,6472,69051,29:09.8
Applications - Age Wise Wise,RPO Bhopal,Between_18_to_35,2032,8812,89473,29:09.8
Applications - Age Wise Wise,RPO Bhopal,Between_36_to_60,1225,5976,58513,29:09.8
Applications - Age Wise Wise,RPO Bhopal,GreaterThan60,1545,1677,16703,29:09.8
Applications - Age Wise Wise,RPO Bhopal,LessThan18,5873,2388,23018,29:09.8
Application Fee Online Payment - Mode Wise,RPO Bhopal,Challan,6920,275850,4817450,29:09.8
Application Fee Online Payment - Mode Wise,RPO Bhopal,Credit/ Debit Card,2653,10870550,119001300,29:09.8
Application Fee Online Payment - Mode Wise,RPO Bhopal,Online,24545,10466350,118309250,29:09.8
Applications Received - Service Wise,RPO Bhopal,FRESH,3111,14632,145983,29:09.8
Applications Received - Service Wise,RPO Bhopal,PCC,63,273,2876,29:09.8
Applications Received - Service Wise,RPO Bhopal,REISSUE,931,3937,38783,29:09.8
Applications Granted - PV Mode wise,RPO Bhopal,No Verification,164,602,7715,29:09.8
Applications Granted - PV Mode wise,RPO Bhopal,Post Verification,505,2049,19528,29:09.8
Applications Granted - PV Mode wise,RPO Bhopal,Pre Verification,3243,14053,135317,29:09.8
PV Processing Time,RPO Bhopal,More than 21 Days,312,1699,14094,29:09.8
PV Processing Time,RPO Bhopal,Within 21 Days,3507,13456,143092,29:09.8
Applications Received - Scheme wise,RPO Bhubaneswar,Normal,2092,9521,94299,29:09.8
Applications Received - Scheme wise,RPO Bhubaneswar,Tatkaal,152,593,6058,29:09.8
Applications Received - Gender wise,RPO Bhubaneswar,FEMALE,570,2712,27586,29:09.8
Applications Received - Gender wise,RPO Bhubaneswar,MALE,1674,7402,72769,29:09.8
Applications with Aadhaar Number,RPO Bhubaneswar,Count of Applications,2244,10114,100357,29:09.8
Applications - Education Wise,RPO Bhubaneswar,10TH PASS AND ABOVE,820,3532,34676,29:09.8
Applications - Education Wise,RPO Bhubaneswar,GRADUATE AND ABOVE,855,3985,39229,29:09.8
Applications - Age Wise Wise,RPO Bhubaneswar,Between_18_to_35,1337,5748,57475,29:09.8
Applications - Age Wise Wise,RPO Bhubaneswar,Between_36_to_60,629,2937,28918,29:09.8
Applications - Age Wise Wise,RPO Bhubaneswar,GreaterThan60,104,527,5561,29:09.8
Applications - Age Wise Wise,RPO Bhubaneswar,LessThan18,174,902,8403,29:09.8
Application Fee Online Payment - Mode Wise,RPO Bhubaneswar,Challan,40300,128550,1780650,29:09.8
Application Fee Online Payment - Mode Wise,RPO Bhubaneswar,Credit/ Debit Card,1591700,7562300,72915150,29:09.8
Application Fee Online Payment - Mode Wise,RPO Bhubaneswar,Online,1272450,5291300,56274850,29:09.8
Applications Received - Service Wise,RPO Bhubaneswar,FRESH,1651,7804,76597,29:09.8
Applications Received - Service Wise,RPO Bhubaneswar,PCC,167,461,4952,29:09.8
Applications Received - Service Wise,RPO Bhubaneswar,REISSUE,426,1849,18787,29:09.8
Applications Granted - PV Mode wise,RPO Bhubaneswar,No Verification,234,847,9942,29:09.8
Applications Granted - PV Mode wise,RPO Bhubaneswar,Post Verification,296,1187,11486,29:09.8
Applications Granted - PV Mode wise,RPO Bhubaneswar,Pre Verification,1117,5326,53037,29:09.8
PV Processing Time,RPO Bhubaneswar,More than 21 Days,482,2648,32987,29:09.8
PV Processing Time,RPO Bhubaneswar,Within 21 Days,1203,4685,42588,29:09.8
Applications Received - Scheme wise,RPO Chandigarh,Normal,10580,53975,594038,29:09.8
Applications Received - Scheme wise,RPO Chandigarh,Tatkaal,279,1386,19821,29:09.8
Applications Received - Gender wise,RPO Chandigarh,FEMALE,4281,21741,240137,29:09.8
Applications Received - Gender wise,RPO Chandigarh,MALE,6573,33603,373559,29:09.8
Applications with Aadhaar Number,RPO Chandigarh,Count of Applications,10854,55346,613725,29:09.8
Applications - Education Wise,RPO Chandigarh,10TH PASS AND ABOVE,4597,24836,280592,29:09.8
Applications - Education Wise,RPO Chandigarh,GRADUATE AND ABOVE,2768,12799,140598,29:09.8
Applications - Age Wise Wise,RPO Chandigarh,Between_18_to_35,5570,28839,322599,29:09.8
Applications - Age Wise Wise,RPO Chandigarh,Between_36_to_60,2843,14691,165209,29:09.8
Applications - Age Wise Wise,RPO Chandigarh,GreaterThan60,717,3531,36368,29:09.8
Applications - Age Wise Wise,RPO Chandigarh,LessThan18,1724,8285,89549,29:09.8
Application Fee Online Payment - Mode Wise,RPO Chandigarh,Challan,226050,969450,18304600,29:09.8
Application Fee Online Payment - Mode Wise,RPO Chandigarh,Credit/ Debit Card,8505600,36531550,451158300,29:09.8
Application Fee Online Payment - Mode Wise,RPO Chandigarh,Online,3648350,16970650,238233900,29:09.8
Applications Received - Service Wise,RPO Chandigarh,FRESH,6998,36371,410603,29:09.8
Applications Received - Service Wise,RPO Chandigarh,PCC,610,2835,25025,29:09.8
Applications Received - Service Wise,RPO Chandigarh,REISSUE,3243,16125,178000,29:09.8
Applications Granted - PV Mode wise,RPO Chandigarh,No Verification,215,978,11055,29:09.8
Applications Granted - PV Mode wise,RPO Chandigarh,Post Verification,1170,5373,80039,29:09.8
Applications Granted - PV Mode wise,RPO Chandigarh,Pre Verification,8710,49075,477541,29:09.8
PV Processing Time,RPO Chandigarh,More than 21 Days,2277,10079,103290,29:09.8
PV Processing Time,RPO Chandigarh,Within 21 Days,8612,41495,420028,29:09.8
Applications Received - Scheme wise,RPO Chennai,Normal,10355,40399,406708,29:09.8
Applications Received - Scheme wise,RPO Chennai,Tatkaal,291,1104,11192,29:09.8
Applications Received - Gender wise,RPO Chennai,FEMALE,4261,16359,162490,29:09.8
Applications Received - Gender wise,RPO Chennai,MALE,6381,25135,255301,29:09.8
Applications with Aadhaar Number,RPO Chennai,Count of Applications,10643,41497,417814,29:09.8
Applications - Education Wise,RPO Chennai,10TH PASS AND ABOVE,2830,11222,117429,29:09.8
